"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Enteroscape_v4.1.nlogo"
"parameter sweep (adhesion/deadhesion)"
"12/20/2024 23:23:39:968 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker","g-pharynx-inflammation"
"141","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2988","994","2989","1","43"
"142","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3632","1179","3633","1","42"
"151","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2695","890","2696","1","40"
"149","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3464","1154","3465","2","43"
"145","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","4113","1314","4114","1","42"
"157","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2475","814","2476","2","40"
"162","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1678","512","1679","1","36"
"146","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","4166","1406","4167","2","41"
"155","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3199","1053","3200","2","42"
"153","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3454","1155","3455","1","43"
"158","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3043","1008","3044","2","42"
"154","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3634","1228","3635","1","43"
"164","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2135","671","2136","2","38"
"156","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3435","1094","3436","1","43"
"160","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2997","959","2998","2","39"
"161","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2852","967","2853","2","42"
"173","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","573","167","574","2","5"
"168","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1847","568","1848","1","31"
"159","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3188","1055","3189","2","43"
"165","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2861","948","2862","1","41"
"170","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2180","720","2181","1","42"
"174","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2411","780","2412","2","40"
"177","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1569","495","1570","1","38"
"169","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2946","1012","2947","1","41"
